Project:,SAEON,Sub Project:,Algoa Bay Long Term Research,,,,,,
Time Series:,BIO_60m_021,Series Code:,ABLTMRP_BIOFF_UTR_60m_2/7_021,Raw Data File:,C:\Data Store\Algoa Bay Sentinel Site\Continuous Monitoring Platform\Staging\UTRs\20200312_MalickI\80m_BI_2.csv,,,,
Location:,Bird Island,Site:,Offshore,GPS Name:,80M UTR - BI,Mooring Type:,UTR Array,Mooring No:,11
Latitude:,-33.90385,Longitude:,26.30076,LatShore:,-33.764,LongShore:,26.306,Distance (m):,
Interval (hr):,1,Total:,4224,Variables:,1,,,,
Deploy Depth (m):,60,Bottom Depth (m):,80,Bin No:,2,Total Bins:,7,,
Start Date:,2019/09/10,Start Time:,11:00:00,,,,,,
End Date:,2020/03/04,End Time:,10:00:00,,,,,,
Instrument:,Onset Hobo Pro v2 Water Temperature Logger,Serial No:,20190448,,,,,,
Comment:,,,,,,,,,
Plot Title: 80m BI_2,,,,,,,,,
#,Date,"Time, GMT+02:00","Temp, °C (LGR S/N: 20190448, SEN S/N: 20190448)",,,,,,
28,2019/09/10,11:00:00 am,13.473,,,,,,
29,2019/09/10,12:00:00 pm,13.257,,,,,,
30,2019/09/10,1:00:00 pm,13.257,,,,,,
31,2019/09/10,2:00:00 pm,13.233,,,,,,
32,2019/09/10,3:00:00 pm,13.281,,,,,,
33,2019/09/10,4:00:00 pm,13.257,,,,,,
34,2019/09/10,5:00:00 pm,13.257,,,,,,
35,2019/09/10,6:00:00 pm,13.497,,,,,,
36,2019/09/10,7:00:00 pm,13.522,,,,,,
37,2019/09/10,8:00:00 pm,13.281,,,,,,
38,2019/09/10,9:00:00 pm,13.281,,,,,,
39,2019/09/10,10:00:00 pm,13.185,,,,,,
40,2019/09/10,11:00:00 pm,13.137,,,,,,
41,2019/09/11,12:00:00 am,13.137,,,,,,
42,2019/09/11,1:00:00 am,13.064,,,,,,
43,2019/09/11,2:00:00 am,13.04,,,,,,
44,2019/09/11,3:00:00 am,13.016,,,,,,
45,2019/09/11,4:00:00 am,13.112,,,,,,
46,2019/09/11,5:00:00 am,13.088,,,,,,
47,2019/09/11,6:00:00 am,12.944,,,,,,
48,2019/09/11,7:00:00 am,12.847,,,,,,
49,2019/09/11,8:00:00 am,12.823,,,,,,
50,2019/09/11,9:00:00 am,12.799,,,,,,
51,2019/09/11,10:00:00 am,12.751,,,,,,
52,2019/09/11,11:00:00 am,12.751,,,,,,
53,2019/09/11,12:00:00 pm,12.896,,,,,,
54,2019/09/11,1:00:00 pm,13.04,,,,,,
55,2019/09/11,2:00:00 pm,13.04,,,,,,
56,2019/09/11,3:00:00 pm,13.016,,,,,,
57,2019/09/11,4:00:00 pm,12.944,,,,,,
58,2019/09/11,5:00:00 pm,12.847,,,,,,
59,2019/09/11,6:00:00 pm,12.799,,,,,,
60,2019/09/11,7:00:00 pm,12.751,,,,,,
61,2019/09/11,8:00:00 pm,12.727,,,,,,
62,2019/09/11,9:00:00 pm,12.63,,,,,,
