"Project:","SAEON","Sub Project:","Algoa Bay Long Term Research"			
"Time Series:","BIO_70m_022","Series Code:","ABLTMRP_BIOFF_UTR_70m_1/7_022","Raw Data File:","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20200921_MalickI"			
"Location:","Bird Island","Site:","Offshore","GPS Name:","80M UTR - BI","Mooring Type:","UTR Array","Mooring No:","11"			
"Latitude:","-33.90385","Longitude:","26.30076","LatShore:","-33.764","LongShore:","26.306","Distance (m):	"			
"Interval (hr):","1","Total:","4681","Variables:","1"			
"Deploy Depth (m):","70","Bottom Depth (m):","80","Bin No:","1","Total Bins:","7"			
"Start Date:","2020-03-04","Start Time:","11:00:00"			
"End Date:","2020-09-15","End Time:","11:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20190354"			
"Comment:									"			
"Plot Title: 80m Bird Island 1"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20190354, SEN S/N: 20190354)"
4,2020-03-04,11:00:00,11.200
5,2020-03-04,12:00:00,11.200
6,2020-03-04,13:00:00,11.200
7,2020-03-04,14:00:00,11.200
8,2020-03-04,15:00:00,11.175
9,2020-03-04,16:00:00,11.175
10,2020-03-04,17:00:00,11.175
11,2020-03-04,18:00:00,11.175
12,2020-03-04,19:00:00,11.175
13,2020-03-04,20:00:00,11.151
14,2020-03-04,21:00:00,11.151
15,2020-03-04,22:00:00,11.151
16,2020-03-04,23:00:00,11.151
17,2020-03-05,00:00:00,11.151
18,2020-03-05,01:00:00,11.175
19,2020-03-05,02:00:00,11.175
20,2020-03-05,03:00:00,11.175
21,2020-03-05,04:00:00,11.175
22,2020-03-05,05:00:00,11.151
23,2020-03-05,06:00:00,11.151
24,2020-03-05,07:00:00,11.151
25,2020-03-05,08:00:00,11.151
26,2020-03-05,09:00:00,11.127
27,2020-03-05,10:00:00,11.151
28,2020-03-05,11:00:00,11.151
29,2020-03-05,12:00:00,11.151
30,2020-03-05,13:00:00,11.151
31,2020-03-05,14:00:00,11.200
32,2020-03-05,15:00:00,11.200
33,2020-03-05,16:00:00,11.200
34,2020-03-05,17:00:00,11.224
35,2020-03-05,18:00:00,11.248
36,2020-03-05,19:00:00,11.273
37,2020-03-05,20:00:00,11.273
38,2020-03-05,21:00:00,11.346
39,2020-03-05,22:00:00,11.467
40,2020-03-05,23:00:00,11.686
41,2020-03-06,00:00:00,11.759
42,2020-03-06,01:00:00,11.904
43,2020-03-06,02:00:00,11.977
44,2020-03-06,03:00:00,12.268
45,2020-03-06,04:00:00,12.268
46,2020-03-06,05:00:00,12.195
47,2020-03-06,06:00:00,12.098
48,2020-03-06,07:00:00,11.565
49,2020-03-06,08:00:00,11.589
50,2020-03-06,09:00:00,11.710
51,2020-03-06,10:00:00,11.637
52,2020-03-06,11:00:00,11.686
53,2020-03-06,12:00:00,11.686
54,2020-03-06,13:00:00,11.734
55,2020-03-06,14:00:00,11.492
56,2020-03-06,15:00:00,11.637
57,2020-03-06,16:00:00,11.613
