"Project:","SAEON","Sub Project:","Algoa Bay Long Term Research"			
"Time Series:","BIO_10m_022","Series Code:","ABLTMRP_BIOFF_UTR_10m_7/7_022","Raw Data File:","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20200921_MalickI"			
"Location:","Bird Island","Site:","Offshore","GPS Name:","80M UTR - BI","Mooring Type:","UTR Array","Mooring No:","11"			
"Latitude:","-33.90385","Longitude:","26.30076","LatShore:","-33.764","LongShore:","26.306","Distance (m):	"			
"Interval (hr):","1","Total:","4681","Variables:","1"			
"Deploy Depth (m):","10","Bottom Depth (m):","80","Bin No:","7","Total Bins:","7"			
"Start Date:","2020-03-04","Start Time:","11:00:00"			
"End Date:","2020-09-15","End Time:","11:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20190442"
"Comment:	
"Plot Title: 80m Bird Island 7"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20190442, SEN S/N: 20190442)"
4,2020-03-04,11:00:00,17.558
5,2020-03-04,12:00:00,17.463
6,2020-03-04,13:00:00,17.463
7,2020-03-04,14:00:00,17.415
8,2020-03-04,15:00:00,17.653
9,2020-03-04,16:00:00,17.201
10,2020-03-04,17:00:00,17.344
11,2020-03-04,18:00:00,17.701
12,2020-03-04,19:00:00,17.510
13,2020-03-04,20:00:00,17.249
14,2020-03-04,21:00:00,16.773
15,2020-03-04,22:00:00,15.652
16,2020-03-04,23:00:00,15.605
17,2020-03-05,00:00:00,14.673
18,2020-03-05,01:00:00,14.122
19,2020-03-05,02:00:00,14.577
20,2020-03-05,03:00:00,15.581
21,2020-03-05,04:00:00,15.867
22,2020-03-05,05:00:00,17.272
23,2020-03-05,06:00:00,15.390
24,2020-03-05,07:00:00,16.463
25,2020-03-05,08:00:00,16.773
26,2020-03-05,09:00:00,16.582
27,2020-03-05,10:00:00,17.082
28,2020-03-05,11:00:00,17.130
29,2020-03-05,12:00:00,17.272
30,2020-03-05,13:00:00,16.558
31,2020-03-05,14:00:00,15.843
32,2020-03-05,15:00:00,17.724
33,2020-03-05,16:00:00,16.773
34,2020-03-05,17:00:00,17.225
35,2020-03-05,18:00:00,17.582
36,2020-03-05,19:00:00,16.558
37,2020-03-05,20:00:00,17.106
38,2020-03-05,21:00:00,16.106
39,2020-03-05,22:00:00,17.439
40,2020-03-05,23:00:00,17.201
41,2020-03-06,00:00:00,14.792
42,2020-03-06,01:00:00,15.986
43,2020-03-06,02:00:00,17.296
44,2020-03-06,03:00:00,17.439
45,2020-03-06,04:00:00,17.249
46,2020-03-06,05:00:00,16.987
47,2020-03-06,06:00:00,17.177
48,2020-03-06,07:00:00,17.867
49,2020-03-06,08:00:00,17.463
50,2020-03-06,09:00:00,18.152
51,2020-03-06,10:00:00,17.463
52,2020-03-06,11:00:00,18.366
53,2020-03-06,12:00:00,17.772
54,2020-03-06,13:00:00,18.319
55,2020-03-06,14:00:00,17.296
56,2020-03-06,15:00:00,17.510
57,2020-03-06,16:00:00,17.653
58,2020-03-06,17:00:00,17.772
59,2020-03-06,18:00:00,17.582
60,2020-03-06,19:00:00,17.558
61,2020-03-06,20:00:00,17.296
62,2020-03-06,21:00:00,17.011
63,2020-03-06,22:00:00,16.487
64,2020-03-06,23:00:00,16.677
65,2020-03-07,00:00:00,16.582
66,2020-03-07,01:00:00,16.606
67,2020-03-07,02:00:00,16.511
68,2020-03-07,03:00:00,16.225
69,2020-03-07,04:00:00,15.055
70,2020-03-07,05:00:00,16.296
71,2020-03-07,06:00:00,15.629
72,2020-03-07,07:00:00,15.772
73,2020-03-07,08:00:00,15.318
74,2020-03-07,09:00:00,14.888
75,2020-03-07,10:00:00,14.649
76,2020-03-07,11:00:00,14.242
77,2020-03-07,12:00:00,13.882
78,2020-03-07,13:00:00,13.762
79,2020-03-07,14:00:00,14.529
80,2020-03-07,15:00:00,15.127
81,2020-03-07,16:00:00,15.366
82,2020-03-07,17:00:00,15.533
83,2020-03-07,18:00:00,15.223
84,2020-03-07,19:00:00,15.127
85,2020-03-07,20:00:00,15.103
86,2020-03-07,21:00:00,15.055
87,2020-03-07,22:00:00,14.792
88,2020-03-07,23:00:00,14.529
89,2020-03-08,00:00:00,14.529
90,2020-03-08,01:00:00,14.170
91,2020-03-08,02:00:00,14.050
92,2020-03-08,03:00:00,14.577
93,2020-03-08,04:00:00,14.505
94,2020-03-08,05:00:00,14.337
95,2020-03-08,06:00:00,14.194
96,2020-03-08,07:00:00,15.247
97,2020-03-08,08:00:00,15.414
98,2020-03-08,09:00:00,15.390
99,2020-03-08,10:00:00,15.986
100,2020-03-08,11:00:00,15.461
101,2020-03-08,12:00:00,16.058
102,2020-03-08,13:00:00,15.915
103,2020-03-08,14:00:00,15.581
104,2020-03-08,15:00:00,15.867
105,2020-03-08,16:00:00,15.652
106,2020-03-08,17:00:00,15.676
107,2020-03-08,18:00:00,15.175
108,2020-03-08,19:00:00,15.438
109,2020-03-08,20:00:00,15.700
110,2020-03-08,21:00:00,15.438
111,2020-03-08,22:00:00,14.792
112,2020-03-08,23:00:00,14.888
113,2020-03-09,00:00:00,15.008
114,2020-03-09,01:00:00,14.481
115,2020-03-09,02:00:00,14.697
116,2020-03-09,03:00:00,14.673
117,2020-03-09,04:00:00,15.939
118,2020-03-09,05:00:00,14.984
119,2020-03-09,06:00:00,16.368
120,2020-03-09,07:00:00,16.534
121,2020-03-09,08:00:00,17.011
122,2020-03-09,09:00:00,17.344
123,2020-03-09,10:00:00,16.915
124,2020-03-09,11:00:00,16.892
125,2020-03-09,12:00:00,15.676
126,2020-03-09,13:00:00,15.843
127,2020-03-09,14:00:00,16.654
128,2020-03-09,15:00:00,14.194
129,2020-03-09,16:00:00,15.199
130,2020-03-09,17:00:00,13.497
131,2020-03-09,18:00:00,14.553
132,2020-03-09,19:00:00,15.700
133,2020-03-09,20:00:00,16.582
134,2020-03-09,21:00:00,17.082
135,2020-03-09,22:00:00,17.320
136,2020-03-09,23:00:00,15.986
137,2020-03-10,00:00:00,17.011
138,2020-03-10,01:00:00,17.106
139,2020-03-10,02:00:00,15.700
140,2020-03-10,03:00:00,14.768
141,2020-03-10,04:00:00,14.050
142,2020-03-10,05:00:00,14.218
143,2020-03-10,06:00:00,15.414
144,2020-03-10,07:00:00,14.768
145,2020-03-10,08:00:00,15.055
146,2020-03-10,09:00:00,14.936
147,2020-03-10,10:00:00,15.223
148,2020-03-10,11:00:00,15.318
149,2020-03-10,12:00:00,15.414
150,2020-03-10,13:00:00,15.963
151,2020-03-10,14:00:00,14.816
152,2020-03-10,15:00:00,14.481
153,2020-03-10,16:00:00,15.557
154,2020-03-10,17:00:00,16.249
155,2020-03-10,18:00:00,16.892
156,2020-03-10,19:00:00,16.320
157,2020-03-10,20:00:00,16.344
158,2020-03-10,21:00:00,16.058
159,2020-03-10,22:00:00,16.630
160,2020-03-10,23:00:00,17.153
161,2020-03-11,00:00:00,16.820
162,2020-03-11,01:00:00,15.438
163,2020-03-11,02:00:00,14.649
164,2020-03-11,03:00:00,14.768
165,2020-03-11,04:00:00,15.366
166,2020-03-11,05:00:00,16.129
167,2020-03-11,06:00:00,15.318
168,2020-03-11,07:00:00,15.390
169,2020-03-11,08:00:00,13.425
170,2020-03-11,09:00:00,17.177
171,2020-03-11,10:00:00,17.344
172,2020-03-11,11:00:00,17.439
173,2020-03-11,12:00:00,17.391
174,2020-03-11,13:00:00,17.106
175,2020-03-11,14:00:00,16.820
176,2020-03-11,15:00:00,16.725
177,2020-03-11,16:00:00,15.127
178,2020-03-11,17:00:00,16.749
179,2020-03-11,18:00:00,16.534
180,2020-03-11,19:00:00,16.582
181,2020-03-11,20:00:00,16.296
182,2020-03-11,21:00:00,16.320
183,2020-03-11,22:00:00,16.320
184,2020-03-11,23:00:00,16.106
185,2020-03-12,00:00:00,15.915
186,2020-03-12,01:00:00,15.843
187,2020-03-12,02:00:00,16.511
188,2020-03-12,03:00:00,16.296
189,2020-03-12,04:00:00,16.463
190,2020-03-12,05:00:00,16.010
191,2020-03-12,06:00:00,15.342
192,2020-03-12,07:00:00,14.792
193,2020-03-12,08:00:00,16.701
194,2020-03-12,09:00:00,16.987
195,2020-03-12,10:00:00,17.272
196,2020-03-12,11:00:00,17.320
197,2020-03-12,12:00:00,17.272
198,2020-03-12,13:00:00,16.939
199,2020-03-12,14:00:00,16.606
200,2020-03-12,15:00:00,17.011
201,2020-03-12,16:00:00,16.987
202,2020-03-12,17:00:00,17.249
203,2020-03-12,18:00:00,17.153
204,2020-03-12,19:00:00,16.463
205,2020-03-12,20:00:00,16.701
206,2020-03-12,21:00:00,17.368
207,2020-03-12,22:00:00,15.939
208,2020-03-12,23:00:00,14.337
209,2020-03-13,00:00:00,14.409
210,2020-03-13,01:00:00,14.433
