"Project:","SAEON","Sub Project:","Algoa Bay Long Term Research"			
"Time Series:","BIO_40m_022","Series Code:","ABLTMRP_BIOFF_UTR_40m_4/7_022","Raw Data File:","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20200921_MalickI"			
"Location:","Bird Island","Site:","Offshore","GPS Name:","80M UTR - BI","Mooring Type:","UTR Array","Mooring No:","11"			
"Latitude:","-33.90385","Longitude:","26.30076","LatShore:","-33.764","LongShore:","26.306","Distance (m):	"			
"Interval (hr):","1","Total:","4681","Variables:","1"			
"Deploy Depth (m):","40","Bottom Depth (m):","80","Bin No:","4","Total Bins:","7"			
"Start Date:","2020-03-04","Start Time:","11:00:00"			
"End Date:","2020-09-15","End Time:","11:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20190445"
"Comment:	
"Plot Title: 80m Bird Island 4"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20190445, SEN S/N: 20190445)"
4,2020-03-04,11:00:00,12.823
5,2020-03-04,12:00:00,12.847
6,2020-03-04,13:00:00,12.630
7,2020-03-04,14:00:00,12.630
8,2020-03-04,15:00:00,12.630
9,2020-03-04,16:00:00,12.582
10,2020-03-04,17:00:00,12.606
11,2020-03-04,18:00:00,12.751
12,2020-03-04,19:00:00,12.678
13,2020-03-04,20:00:00,12.751
14,2020-03-04,21:00:00,12.847
15,2020-03-04,22:00:00,12.847
16,2020-03-04,23:00:00,12.871
17,2020-03-05,00:00:00,12.630
18,2020-03-05,01:00:00,12.582
19,2020-03-05,02:00:00,12.413
20,2020-03-05,03:00:00,12.630
21,2020-03-05,04:00:00,12.775
22,2020-03-05,05:00:00,12.896
23,2020-03-05,06:00:00,12.968
24,2020-03-05,07:00:00,12.751
25,2020-03-05,08:00:00,12.847
26,2020-03-05,09:00:00,12.727
27,2020-03-05,10:00:00,12.871
28,2020-03-05,11:00:00,12.896
29,2020-03-05,12:00:00,12.896
30,2020-03-05,13:00:00,12.799
31,2020-03-05,14:00:00,12.775
32,2020-03-05,15:00:00,12.847
33,2020-03-05,16:00:00,12.896
34,2020-03-05,17:00:00,12.751
35,2020-03-05,18:00:00,12.678
36,2020-03-05,19:00:00,12.751
37,2020-03-05,20:00:00,12.799
38,2020-03-05,21:00:00,12.654
39,2020-03-05,22:00:00,12.654
40,2020-03-05,23:00:00,12.703
41,2020-03-06,00:00:00,12.727
42,2020-03-06,01:00:00,12.703
43,2020-03-06,02:00:00,12.703
44,2020-03-06,03:00:00,12.751
45,2020-03-06,04:00:00,12.727
46,2020-03-06,05:00:00,12.847
47,2020-03-06,06:00:00,12.871
48,2020-03-06,07:00:00,12.920
49,2020-03-06,08:00:00,12.896
50,2020-03-06,09:00:00,12.847
51,2020-03-06,10:00:00,12.847
52,2020-03-06,11:00:00,12.896
53,2020-03-06,12:00:00,12.751
