Project:,SAEON,Sub Project:,St Francis Bay Long Term Research
Time Series:,SFB80W_70m_008,Series Code:,SFBLTMRP_SFB80W_UTR_70m_1/7_008,Raw Data File:,80m_West_1.csv
Location:,St Francis Bay 80m West,Site:,St Francis Bay 80m West,GPS Name:,UTR - StF-80m-W,Mooring Type:,UTR Array,Mooring No:,
Latitude:,-34.170740,Longitude:,25.111620,LatShore:,-  .,LongShore:,  .,Distance (m):,
Interval (hr):,1,Total:,2201,Variables:,1
Deploy Depth (m):,70,Bottom Depth (m):,80,Bin No:,1,Total Bins:,7
Start Date:,2016-07-18,Start Time:,12:00:00
End Date:,2016-10-22,End Time:,08:00:00
Instrument:,Onset Hobo Pro v2 Water Temperature Logger,Serial No:,
Comment:,
Date (yyyy-mm-dd),Time (hh:mm:ss),Temperature (°C)
2016-07-20,19:00:00,11.224
2016-07-20,20:00:00,11.224
2016-07-20,21:00:00,11.224
2016-07-20,22:00:00,11.224
2016-07-20,23:00:00,11.224
2016-07-21,00:00:00,11.224
2016-07-21,01:00:00,11.248
2016-07-21,02:00:00,11.248
2016-07-21,03:00:00,11.248
2016-07-21,04:00:00,11.273
2016-07-21,05:00:00,11.297
2016-07-21,06:00:00,11.297
2016-07-21,07:00:00,11.370
2016-07-21,08:00:00,11.565
2016-07-21,09:00:00,11.832
2016-07-21,10:00:00,12.243
2016-07-21,11:00:00,12.219
2016-07-21,12:00:00,12.292
2016-07-21,13:00:00,12.316
2016-07-21,14:00:00,12.389
2016-07-21,15:00:00,12.340
2016-07-21,16:00:00,12.364
2016-07-21,17:00:00,12.340
2016-07-21,18:00:00,12.316
2016-07-21,19:00:00,12.219
2016-07-21,20:00:00,11.977
2016-07-21,21:00:00,12.219
2016-07-21,22:00:00,12.122
2016-07-21,23:00:00,11.759
2016-07-22,00:00:00,11.662
2016-07-22,01:00:00,11.613
2016-07-22,02:00:00,11.516
2016-07-22,03:00:00,11.516
2016-07-22,04:00:00,11.540
2016-07-22,05:00:00,11.565
2016-07-22,06:00:00,11.613
2016-07-22,07:00:00,11.662
2016-07-22,08:00:00,11.686
2016-07-22,09:00:00,11.783
2016-07-22,10:00:00,11.832
2016-07-22,11:00:00,11.856
2016-07-22,12:00:00,11.880
2016-07-22,13:00:00,11.880
2016-07-22,14:00:00,11.880
2016-07-22,15:00:00,11.856
2016-07-22,16:00:00,11.832
2016-07-22,17:00:00,11.977
2016-07-22,18:00:00,12.122
2016-07-22,19:00:00,11.977
2016-07-22,20:00:00,12.437
2016-07-22,21:00:00,11.977
2016-07-22,22:00:00,12.219
2016-07-22,23:00:00,12.485
2016-07-23,00:00:00,12.364
2016-07-23,01:00:00,12.340
2016-07-23,02:00:00,12.413
2016-07-23,03:00:00,12.364
2016-07-23,04:00:00,12.219
2016-07-23,05:00:00,11.977
2016-07-23,06:00:00,11.929
2016-07-23,07:00:00,11.880
2016-07-23,08:00:00,12.074
2016-07-23,09:00:00,12.364
2016-07-23,10:00:00,12.437
2016-07-23,11:00:00,12.703
2016-07-23,12:00:00,13.016
2016-07-23,13:00:00,13.522
2016-07-23,14:00:00,13.546
2016-07-23,15:00:00,13.690
2016-07-23,16:00:00,13.906
2016-07-23,17:00:00,13.858
2016-07-23,18:00:00,13.425
2016-07-23,19:00:00,13.377
2016-07-23,20:00:00,13.642
2016-07-23,21:00:00,14.026
2016-07-23,22:00:00,13.810
2016-07-23,23:00:00,13.353
2016-07-24,00:00:00,12.968
2016-07-24,01:00:00,13.329
2016-07-24,02:00:00,13.305
2016-07-24,03:00:00,13.618
2016-07-24,04:00:00,13.738
2016-07-24,05:00:00,13.377
2016-07-24,06:00:00,13.185
2016-07-24,07:00:00,12.944
2016-07-24,08:00:00,12.823
2016-07-24,09:00:00,12.751
2016-07-24,10:00:00,12.654
2016-07-24,11:00:00,12.630
2016-07-24,12:00:00,12.654
2016-07-24,13:00:00,12.775
2016-07-24,14:00:00,13.040
2016-07-24,15:00:00,13.570
2016-07-24,16:00:00,13.762
2016-07-24,17:00:00,13.882
2016-07-24,18:00:00,13.882
2016-07-24,19:00:00,13.834
2016-07-24,20:00:00,13.882
2016-07-24,21:00:00,12.968
2016-07-24,22:00:00,12.823
2016-07-24,23:00:00,12.823
2016-07-25,00:00:00,12.751
2016-07-25,01:00:00,12.678
2016-07-25,02:00:00,12.654
2016-07-25,03:00:00,12.630
2016-07-25,04:00:00,12.703
2016-07-25,05:00:00,12.871
2016-07-25,06:00:00,12.871
2016-07-25,07:00:00,12.799
2016-07-25,08:00:00,12.727
2016-07-25,09:00:00,12.751
2016-07-25,10:00:00,12.606
2016-07-25,11:00:00,12.485
2016-07-25,12:00:00,12.364
2016-07-25,13:00:00,12.413
2016-07-25,14:00:00,12.243
2016-07-25,15:00:00,12.025
2016-07-25,16:00:00,11.904
2016-07-25,17:00:00,11.856
2016-07-25,18:00:00,11.783
2016-07-25,19:00:00,11.662
2016-07-25,20:00:00,11.662
2016-07-25,21:00:00,11.686
2016-07-25,22:00:00,11.759
2016-07-25,23:00:00,11.734
2016-07-26,00:00:00,11.734
2016-07-26,01:00:00,11.637
2016-07-26,02:00:00,11.565
2016-07-26,03:00:00,11.516
2016-07-26,04:00:00,11.492
2016-07-26,05:00:00,11.492
2016-07-26,06:00:00,11.467
2016-07-26,07:00:00,11.467
2016-07-26,08:00:00,11.467
2016-07-26,09:00:00,11.443
2016-07-26,10:00:00,11.394
2016-07-26,11:00:00,11.394
2016-07-26,12:00:00,11.370
2016-07-26,13:00:00,11.370
2016-07-26,14:00:00,11.346
2016-07-26,15:00:00,11.321
2016-07-26,16:00:00,11.297
2016-07-26,17:00:00,11.321
2016-07-26,18:00:00,11.321
2016-07-26,19:00:00,11.346
2016-07-26,20:00:00,11.346
2016-07-26,21:00:00,11.346
2016-07-26,22:00:00,11.346
2016-07-26,23:00:00,11.370
2016-07-27,00:00:00,11.370
2016-07-27,01:00:00,11.370
2016-07-27,02:00:00,11.370
2016-07-27,03:00:00,11.394
2016-07-27,04:00:00,11.394
2016-07-27,05:00:00,11.394
2016-07-27,06:00:00,11.419
2016-07-27,07:00:00,11.443
2016-07-27,08:00:00,11.467
