"Project:","SAEON","Sub Project:","St Francis Bay Long Term Research"			
"Time Series:","SFB60W_50m_008","Series Code:","SFBLTMRP_SFB60W_UTR_50m_1/5_008","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20201113_dHotman\60m St Francis"			
"Location:","St Francis Bay 60m West","Site:","St Francis Bay 60m West","GPS Name:","UTR - 60m_StF-W","Mooring Type:","UTR Array","Mooring No:","21"			
"Latitude:","-34.0891","Longitude:","25.07657","LatShore:"," ","LongShore:"," ","Distance (m):	"			
"Interval (hr):","1","Total:","3913","Variables:","1"			
"Deploy Depth (m):","50","Bottom Depth (m):","60","Bin No:","1","Total Bins:","5"			
"Start Date:","2020-06-01","Start Time:","13:00:00"			
"End Date:","2020-11-11","End Time:","13:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20175002"
"Comment:"
"Plot Title: St Francis Bay_60m_1"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20175002, SEN S/N: 20175002)"
6,2020-06-01,13:00:00,15.772
7,2020-06-01,14:00:00,15.724
8,2020-06-01,15:00:00,15.796
9,2020-06-01,16:00:00,16.439
10,2020-06-01,17:00:00,16.558
11,2020-06-01,18:00:00,16.725
12,2020-06-01,19:00:00,16.701
13,2020-06-01,20:00:00,16.749
14,2020-06-01,21:00:00,16.749
15,2020-06-01,22:00:00,16.654
16,2020-06-01,23:00:00,15.867
17,2020-06-02,00:00:00,15.079
18,2020-06-02,01:00:00,15.055
19,2020-06-02,02:00:00,15.939
20,2020-06-02,03:00:00,16.201
21,2020-06-02,04:00:00,16.344
22,2020-06-02,05:00:00,16.463
23,2020-06-02,06:00:00,15.294
24,2020-06-02,07:00:00,15.676
25,2020-06-02,08:00:00,15.939
26,2020-06-02,09:00:00,15.700
27,2020-06-02,10:00:00,16.106
28,2020-06-02,11:00:00,16.225
29,2020-06-02,12:00:00,16.201
30,2020-06-02,13:00:00,16.201
31,2020-06-02,14:00:00,16.129
32,2020-06-02,15:00:00,16.106
33,2020-06-02,16:00:00,15.151
34,2020-06-02,17:00:00,15.796
35,2020-06-02,18:00:00,15.533
36,2020-06-02,19:00:00,15.461
37,2020-06-02,20:00:00,15.318
38,2020-06-02,21:00:00,15.915
39,2020-06-02,22:00:00,15.963
40,2020-06-02,23:00:00,15.819
41,2020-06-03,00:00:00,15.748
42,2020-06-03,01:00:00,15.509
43,2020-06-03,02:00:00,15.819
44,2020-06-03,03:00:00,15.867
45,2020-06-03,04:00:00,15.915
46,2020-06-03,05:00:00,15.915
47,2020-06-03,06:00:00,14.864
48,2020-06-03,07:00:00,14.840
49,2020-06-03,08:00:00,15.939
50,2020-06-03,09:00:00,15.724
51,2020-06-03,10:00:00,15.605
52,2020-06-03,11:00:00,15.676
53,2020-06-03,12:00:00,15.414
54,2020-06-03,13:00:00,15.461
55,2020-06-03,14:00:00,15.533
56,2020-06-03,15:00:00,15.652
57,2020-06-03,16:00:00,15.629
58,2020-06-03,17:00:00,15.700
59,2020-06-03,18:00:00,15.557
60,2020-06-03,19:00:00,15.557
61,2020-06-03,20:00:00,15.581
62,2020-06-03,21:00:00,15.557
63,2020-06-03,22:00:00,15.557
64,2020-06-03,23:00:00,15.652
65,2020-06-04,00:00:00,15.581
66,2020-06-04,01:00:00,15.438
67,2020-06-04,02:00:00,15.652
68,2020-06-04,03:00:00,15.581
69,2020-06-04,04:00:00,15.772
70,2020-06-04,05:00:00,16.939
71,2020-06-04,06:00:00,15.796
72,2020-06-04,07:00:00,15.438
73,2020-06-04,08:00:00,15.175
74,2020-06-04,09:00:00,15.127
75,2020-06-04,10:00:00,15.247
76,2020-06-04,11:00:00,15.438
77,2020-06-04,12:00:00,15.581
78,2020-06-04,13:00:00,15.414
79,2020-06-04,14:00:00,15.270
80,2020-06-04,15:00:00,15.103
81,2020-06-04,16:00:00,15.270
82,2020-06-04,17:00:00,15.247
83,2020-06-04,18:00:00,15.247
84,2020-06-04,19:00:00,15.390
85,2020-06-04,20:00:00,15.342
86,2020-06-04,21:00:00,14.888
87,2020-06-04,22:00:00,14.816
88,2020-06-04,23:00:00,15.461
89,2020-06-05,00:00:00,14.912
90,2020-06-05,01:00:00,14.721
91,2020-06-05,02:00:00,14.816
92,2020-06-05,03:00:00,14.864
93,2020-06-05,04:00:00,15.390
94,2020-06-05,05:00:00,14.792
95,2020-06-05,06:00:00,14.433
96,2020-06-05,07:00:00,14.577
97,2020-06-05,08:00:00,14.409
98,2020-06-05,09:00:00,14.529
99,2020-06-05,10:00:00,14.625
100,2020-06-05,11:00:00,15.843
101,2020-06-05,12:00:00,14.122
102,2020-06-05,13:00:00,14.242
103,2020-06-05,14:00:00,14.290
104,2020-06-05,15:00:00,13.858
105,2020-06-05,16:00:00,14.050
106,2020-06-05,17:00:00,13.570
107,2020-06-05,18:00:00,13.762
108,2020-06-05,19:00:00,13.690
109,2020-06-05,20:00:00,13.425
110,2020-06-05,21:00:00,13.473
111,2020-06-05,22:00:00,14.984
112,2020-06-05,23:00:00,15.008
113,2020-06-06,00:00:00,14.960
114,2020-06-06,01:00:00,14.337
115,2020-06-06,02:00:00,14.673
116,2020-06-06,03:00:00,14.745
117,2020-06-06,04:00:00,14.481
118,2020-06-06,05:00:00,14.314
119,2020-06-06,06:00:00,14.266
120,2020-06-06,07:00:00,14.314
121,2020-06-06,08:00:00,14.218
122,2020-06-06,09:00:00,14.936
123,2020-06-06,10:00:00,14.864
124,2020-06-06,11:00:00,15.270
125,2020-06-06,12:00:00,15.103
126,2020-06-06,13:00:00,14.529
127,2020-06-06,14:00:00,14.673
128,2020-06-06,15:00:00,14.936
129,2020-06-06,16:00:00,15.008
130,2020-06-06,17:00:00,14.361
131,2020-06-06,18:00:00,14.409
132,2020-06-06,19:00:00,13.930
133,2020-06-06,20:00:00,14.290
134,2020-06-06,21:00:00,14.146
135,2020-06-06,22:00:00,14.170
136,2020-06-06,23:00:00,14.864
137,2020-06-07,00:00:00,14.553
138,2020-06-07,01:00:00,14.816
139,2020-06-07,02:00:00,15.294
140,2020-06-07,03:00:00,15.079
141,2020-06-07,04:00:00,14.529
142,2020-06-07,05:00:00,14.194
143,2020-06-07,06:00:00,14.242
144,2020-06-07,07:00:00,14.122
145,2020-06-07,08:00:00,14.649
146,2020-06-07,09:00:00,14.888
147,2020-06-07,10:00:00,14.816
148,2020-06-07,11:00:00,14.697
149,2020-06-07,12:00:00,16.034
150,2020-06-07,13:00:00,16.034
151,2020-06-07,14:00:00,16.177
152,2020-06-07,15:00:00,14.625
153,2020-06-07,16:00:00,14.768
154,2020-06-07,17:00:00,15.055
155,2020-06-07,18:00:00,14.314
156,2020-06-07,19:00:00,14.864
157,2020-06-07,20:00:00,14.218
158,2020-06-07,21:00:00,15.247
159,2020-06-07,22:00:00,14.314
160,2020-06-07,23:00:00,15.127
161,2020-06-08,00:00:00,14.337
162,2020-06-08,01:00:00,16.010
163,2020-06-08,02:00:00,16.368
164,2020-06-08,03:00:00,15.819
165,2020-06-08,04:00:00,15.390
166,2020-06-08,05:00:00,15.533
167,2020-06-08,06:00:00,16.058
168,2020-06-08,07:00:00,16.225
169,2020-06-08,08:00:00,16.320
170,2020-06-08,09:00:00,15.031
171,2020-06-08,10:00:00,15.055
172,2020-06-08,11:00:00,14.936
173,2020-06-08,12:00:00,15.103
174,2020-06-08,13:00:00,15.485
175,2020-06-08,14:00:00,15.581
176,2020-06-08,15:00:00,15.318
177,2020-06-08,16:00:00,15.247
178,2020-06-08,17:00:00,15.175
179,2020-06-08,18:00:00,15.247
180,2020-06-08,19:00:00,15.175
181,2020-06-08,20:00:00,15.175
182,2020-06-08,21:00:00,14.697
183,2020-06-08,22:00:00,14.026
184,2020-06-08,23:00:00,13.690
185,2020-06-09,00:00:00,13.594
186,2020-06-09,01:00:00,13.906
187,2020-06-09,02:00:00,13.522
188,2020-06-09,03:00:00,13.497
189,2020-06-09,04:00:00,13.473
190,2020-06-09,05:00:00,13.449
191,2020-06-09,06:00:00,13.449
192,2020-06-09,07:00:00,13.425
193,2020-06-09,08:00:00,13.377
194,2020-06-09,09:00:00,13.353
195,2020-06-09,10:00:00,13.377
196,2020-06-09,11:00:00,13.401
197,2020-06-09,12:00:00,13.353
198,2020-06-09,13:00:00,13.449
199,2020-06-09,14:00:00,13.257
200,2020-06-09,15:00:00,12.847
201,2020-06-09,16:00:00,12.751
202,2020-06-09,17:00:00,12.703
203,2020-06-09,18:00:00,12.485
204,2020-06-09,19:00:00,12.437
205,2020-06-09,20:00:00,12.219
206,2020-06-09,21:00:00,12.171
207,2020-06-09,22:00:00,12.219
208,2020-06-09,23:00:00,12.654
209,2020-06-10,00:00:00,12.268
210,2020-06-10,01:00:00,12.292
211,2020-06-10,02:00:00,12.171
212,2020-06-10,03:00:00,12.147
213,2020-06-10,04:00:00,11.977
214,2020-06-10,05:00:00,12.268
215,2020-06-10,06:00:00,12.582
216,2020-06-10,07:00:00,12.630
217,2020-06-10,08:00:00,12.219
218,2020-06-10,09:00:00,12.364
219,2020-06-10,10:00:00,12.268
220,2020-06-10,11:00:00,12.485
221,2020-06-10,12:00:00,12.823
222,2020-06-10,13:00:00,12.775
223,2020-06-10,14:00:00,13.088
224,2020-06-10,15:00:00,12.847
225,2020-06-10,16:00:00,12.847
226,2020-06-10,17:00:00,12.630
227,2020-06-10,18:00:00,12.751
228,2020-06-10,19:00:00,12.558
229,2020-06-10,20:00:00,12.799
230,2020-06-10,21:00:00,12.678
231,2020-06-10,22:00:00,13.016
232,2020-06-10,23:00:00,13.546
233,2020-06-11,00:00:00,13.401
234,2020-06-11,01:00:00,13.329
235,2020-06-11,02:00:00,13.954
236,2020-06-11,03:00:00,13.040
237,2020-06-11,04:00:00,13.594
238,2020-06-11,05:00:00,13.546
239,2020-06-11,06:00:00,13.112
240,2020-06-11,07:00:00,12.703
241,2020-06-11,08:00:00,15.127
242,2020-06-11,09:00:00,15.079
243,2020-06-11,10:00:00,15.318
244,2020-06-11,11:00:00,15.390
245,2020-06-11,12:00:00,15.461
246,2020-06-11,13:00:00,16.106
247,2020-06-11,14:00:00,17.011
248,2020-06-11,15:00:00,16.892
249,2020-06-11,16:00:00,16.963
250,2020-06-11,17:00:00,16.987
