"Project:","SAEON","Sub Project:","St Francis Bay Long Term Research"			
"Time Series:","SFB60W_10m_008","Series Code:","SFBLTMRP_SFB60W_UTR_10m_5/5_008","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20201113_dHotman\60m St Francis"			
"Location:","St Francis Bay 60m West","Site:","St Francis Bay 60m West","GPS Name:","UTR - 60m_StF-W","Mooring Type:","UTR Array","Mooring No:","21"			
"Latitude:","-34.0891","Longitude:","25.07657","LatShore:"," ","LongShore:"," ","Distance (m):	"			
"Interval (hr):","1","Total:","3913","Variables:","1"			
"Deploy Depth (m):","10","Bottom Depth (m):","60","Bin No:","5","Total Bins:","5"			
"Start Date:","2020-06-01","Start Time:","13:00:00"			
"End Date:","2020-11-11","End Time:","13:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20175020"
"Comment:"	
"Plot Title: St Francis Bay_60m_5"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20175020, SEN S/N: 20175020)"
6,2020-06-01,13:00:00,18.723
7,2020-06-01,14:00:00,17.986
8,2020-06-01,15:00:00,18.176
9,2020-06-01,16:00:00,18.343
10,2020-06-01,17:00:00,18.247
11,2020-06-01,18:00:00,18.414
12,2020-06-01,19:00:00,18.105
13,2020-06-01,20:00:00,17.986
14,2020-06-01,21:00:00,17.867
15,2020-06-01,22:00:00,17.796
16,2020-06-01,23:00:00,17.701
17,2020-06-02,00:00:00,17.605
18,2020-06-02,01:00:00,17.534
19,2020-06-02,02:00:00,17.558
20,2020-06-02,03:00:00,17.582
21,2020-06-02,04:00:00,17.605
22,2020-06-02,05:00:00,17.724
23,2020-06-02,06:00:00,17.629
24,2020-06-02,07:00:00,17.582
25,2020-06-02,08:00:00,17.534
26,2020-06-02,09:00:00,17.439
27,2020-06-02,10:00:00,17.249
28,2020-06-02,11:00:00,17.201
29,2020-06-02,12:00:00,17.153
30,2020-06-02,13:00:00,17.201
31,2020-06-02,14:00:00,17.177
32,2020-06-02,15:00:00,17.391
33,2020-06-02,16:00:00,17.320
34,2020-06-02,17:00:00,17.296
35,2020-06-02,18:00:00,17.296
36,2020-06-02,19:00:00,17.320
37,2020-06-02,20:00:00,17.272
38,2020-06-02,21:00:00,17.201
39,2020-06-02,22:00:00,17.106
40,2020-06-02,23:00:00,17.034
41,2020-06-03,00:00:00,17.034
42,2020-06-03,01:00:00,17.034
43,2020-06-03,02:00:00,17.011
44,2020-06-03,03:00:00,16.987
45,2020-06-03,04:00:00,16.987
46,2020-06-03,05:00:00,16.963
47,2020-06-03,06:00:00,16.963
48,2020-06-03,07:00:00,16.987
49,2020-06-03,08:00:00,17.011
50,2020-06-03,09:00:00,17.011
51,2020-06-03,10:00:00,17.034
52,2020-06-03,11:00:00,17.058
53,2020-06-03,12:00:00,17.058
54,2020-06-03,13:00:00,17.034
55,2020-06-03,14:00:00,17.058
56,2020-06-03,15:00:00,17.106
57,2020-06-03,16:00:00,17.153
58,2020-06-03,17:00:00,17.130
59,2020-06-03,18:00:00,17.106
60,2020-06-03,19:00:00,17.106
61,2020-06-03,20:00:00,17.130
62,2020-06-03,21:00:00,17.153
63,2020-06-03,22:00:00,17.153
64,2020-06-03,23:00:00,17.153
65,2020-06-04,00:00:00,17.153
66,2020-06-04,01:00:00,17.153
67,2020-06-04,02:00:00,17.153
68,2020-06-04,03:00:00,17.130
69,2020-06-04,04:00:00,17.153
70,2020-06-04,05:00:00,17.463
71,2020-06-04,06:00:00,17.439
72,2020-06-04,07:00:00,17.463
73,2020-06-04,08:00:00,17.439
74,2020-06-04,09:00:00,17.391
75,2020-06-04,10:00:00,17.415
76,2020-06-04,11:00:00,17.415
77,2020-06-04,12:00:00,17.415
78,2020-06-04,13:00:00,17.368
79,2020-06-04,14:00:00,17.368
80,2020-06-04,15:00:00,17.344
81,2020-06-04,16:00:00,17.344
82,2020-06-04,17:00:00,17.582
83,2020-06-04,18:00:00,17.796
84,2020-06-04,19:00:00,18.010
85,2020-06-04,20:00:00,18.033
86,2020-06-04,21:00:00,18.105
87,2020-06-04,22:00:00,18.081
88,2020-06-04,23:00:00,17.796
89,2020-06-05,00:00:00,17.653
90,2020-06-05,01:00:00,17.463
91,2020-06-05,02:00:00,17.368
92,2020-06-05,03:00:00,17.296
93,2020-06-05,04:00:00,17.344
94,2020-06-05,05:00:00,17.368
95,2020-06-05,06:00:00,17.296
96,2020-06-05,07:00:00,17.344
97,2020-06-05,08:00:00,17.201
98,2020-06-05,09:00:00,17.177
99,2020-06-05,10:00:00,17.130
100,2020-06-05,11:00:00,17.344
101,2020-06-05,12:00:00,17.272
102,2020-06-05,13:00:00,17.177
103,2020-06-05,14:00:00,17.249
104,2020-06-05,15:00:00,17.296
105,2020-06-05,16:00:00,17.344
106,2020-06-05,17:00:00,17.415
107,2020-06-05,18:00:00,17.344
108,2020-06-05,19:00:00,17.344
109,2020-06-05,20:00:00,17.201
110,2020-06-05,21:00:00,17.201
111,2020-06-05,22:00:00,17.177
112,2020-06-05,23:00:00,17.201
113,2020-06-06,00:00:00,17.201
114,2020-06-06,01:00:00,17.130
115,2020-06-06,02:00:00,17.106
116,2020-06-06,03:00:00,17.082
117,2020-06-06,04:00:00,17.153
118,2020-06-06,05:00:00,17.177
119,2020-06-06,06:00:00,17.153
120,2020-06-06,07:00:00,17.153
121,2020-06-06,08:00:00,17.130
122,2020-06-06,09:00:00,17.130
123,2020-06-06,10:00:00,17.153
124,2020-06-06,11:00:00,17.153
125,2020-06-06,12:00:00,17.153
126,2020-06-06,13:00:00,17.177
127,2020-06-06,14:00:00,17.177
128,2020-06-06,15:00:00,17.201
129,2020-06-06,16:00:00,17.225
130,2020-06-06,17:00:00,17.296
131,2020-06-06,18:00:00,17.391
132,2020-06-06,19:00:00,17.463
133,2020-06-06,20:00:00,17.463
134,2020-06-06,21:00:00,17.558
135,2020-06-06,22:00:00,17.582
136,2020-06-06,23:00:00,17.510
137,2020-06-07,00:00:00,17.510
138,2020-06-07,01:00:00,17.439
139,2020-06-07,02:00:00,17.463
140,2020-06-07,03:00:00,17.439
141,2020-06-07,04:00:00,17.415
142,2020-06-07,05:00:00,17.368
143,2020-06-07,06:00:00,17.463
144,2020-06-07,07:00:00,17.439
145,2020-06-07,08:00:00,17.510
146,2020-06-07,09:00:00,17.510
147,2020-06-07,10:00:00,17.534
148,2020-06-07,11:00:00,17.558
149,2020-06-07,12:00:00,17.558
150,2020-06-07,13:00:00,17.558
151,2020-06-07,14:00:00,17.439
152,2020-06-07,15:00:00,17.177
153,2020-06-07,16:00:00,17.201
154,2020-06-07,17:00:00,17.130
155,2020-06-07,18:00:00,17.034
