"Project:","SAEON","Sub Project:","St Francis Bay Long Term Research"			
"Time Series:","SFB60W_20m_008","Series Code:","SFBLTMRP_SFB60W_UTR_20m_4/5_008","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20201113_dHotman\60m St Francis"			
"Location:","St Francis Bay 60m West","Site:","St Francis Bay 60m West","GPS Name:","UTR - 60m_StF-W","Mooring Type:","UTR Array","Mooring No:","21"			
"Latitude:","-34.0891","Longitude:","25.07657","LatShore:"," ","LongShore:"," ","Distance (m):	"			
"Interval (hr):","1","Total:","3913","Variables:","1"			
"Deploy Depth (m):","20","Bottom Depth (m):","60","Bin No:","4","Total Bins:","5"			
"Start Date:","2020-06-01","Start Time:","13:00:00"			
"End Date:","2020-11-11","End Time:","13:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20190362"
"Comment:"	
"Plot Title: St Francis Bay_60m_4"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20190362, SEN S/N: 20190362)"
6,2020-06-01,13:00:00,17.439
7,2020-06-01,14:00:00,17.272
8,2020-06-01,15:00:00,17.296
9,2020-06-01,16:00:00,17.439
10,2020-06-01,17:00:00,17.415
11,2020-06-01,18:00:00,17.439
12,2020-06-01,19:00:00,17.439
13,2020-06-01,20:00:00,17.391
14,2020-06-01,21:00:00,17.510
15,2020-06-01,22:00:00,17.391
16,2020-06-01,23:00:00,17.249
17,2020-06-02,00:00:00,17.034
18,2020-06-02,01:00:00,16.987
19,2020-06-02,02:00:00,17.011
20,2020-06-02,03:00:00,17.011
21,2020-06-02,04:00:00,17.058
22,2020-06-02,05:00:00,17.106
23,2020-06-02,06:00:00,16.987
24,2020-06-02,07:00:00,17.106
25,2020-06-02,08:00:00,17.130
26,2020-06-02,09:00:00,17.058
27,2020-06-02,10:00:00,17.011
28,2020-06-02,11:00:00,17.106
29,2020-06-02,12:00:00,17.082
30,2020-06-02,13:00:00,17.058
31,2020-06-02,14:00:00,17.058
32,2020-06-02,15:00:00,17.106
33,2020-06-02,16:00:00,16.987
34,2020-06-02,17:00:00,17.011
35,2020-06-02,18:00:00,17.011
36,2020-06-02,19:00:00,17.130
37,2020-06-02,20:00:00,17.106
38,2020-06-02,21:00:00,17.106
39,2020-06-02,22:00:00,17.106
40,2020-06-02,23:00:00,17.058
41,2020-06-03,00:00:00,17.058
42,2020-06-03,01:00:00,17.034
43,2020-06-03,02:00:00,17.011
44,2020-06-03,03:00:00,16.963
45,2020-06-03,04:00:00,16.987
46,2020-06-03,05:00:00,16.987
47,2020-06-03,06:00:00,16.892
48,2020-06-03,07:00:00,16.987
49,2020-06-03,08:00:00,17.011
50,2020-06-03,09:00:00,17.011
51,2020-06-03,10:00:00,17.034
52,2020-06-03,11:00:00,17.034
53,2020-06-03,12:00:00,17.011
54,2020-06-03,13:00:00,17.011
55,2020-06-03,14:00:00,17.011
56,2020-06-03,15:00:00,17.034
57,2020-06-03,16:00:00,17.034
58,2020-06-03,17:00:00,17.058
59,2020-06-03,18:00:00,17.106
60,2020-06-03,19:00:00,17.106
61,2020-06-03,20:00:00,17.153
62,2020-06-03,21:00:00,17.153
63,2020-06-03,22:00:00,17.177
64,2020-06-03,23:00:00,17.153
65,2020-06-04,00:00:00,17.153
66,2020-06-04,01:00:00,17.177
67,2020-06-04,02:00:00,17.153
