"Project:","SAEON","Sub Project:","St Francis Bay Long Term Research"			
"Time Series:","SFB60W_40m_008","Series Code:","SFBLTMRP_SFB60W_UTR_40m_2/5_008","C:\Data Store\Algoa Bay Sentinel Site (ABSS)\Continuous Monitoring Platform (CMP)\Staging\UTRs\20201113_dHotman\60m St Francis"			
"Location:","St Francis Bay 60m West","Site:","St Francis Bay 60m West","GPS Name:","UTR - 60m_StF-W","Mooring Type:","UTR Array","Mooring No:","21"			
"Latitude:","-34.0891","Longitude:","25.07657","LatShore:"," ","LongShore:"," ","Distance (m):	"			
"Interval (hr):","1","Total:","3914","Variables:","1"			
"Deploy Depth (m):","40","Bottom Depth (m):","60","Bin No:","2","Total Bins:","5"			
"Start Date:","2020-06-01","Start Time:","13:00:00"			
"End Date:","2020-11-11","End Time:","13:00:00"			
"Instrument:","Onset Hobo Pro v2 Water Temperature Logger","Serial No:","20190448"
"Comment:"
"Plot Title: St Francis Bay_60m_2"
"#","Date","Time, GMT+02:00","Temp, °C (LGR S/N: 20190448, SEN S/N: 20190448)"
6,2020-06-01,13:00:00,16.915
7,2020-06-01,14:00:00,16.892
8,2020-06-01,15:00:00,16.915
9,2020-06-01,16:00:00,16.915
10,2020-06-01,17:00:00,16.915
11,2020-06-01,18:00:00,16.963
12,2020-06-01,19:00:00,16.915
13,2020-06-01,20:00:00,16.987
14,2020-06-01,21:00:00,16.915
15,2020-06-01,22:00:00,16.868
16,2020-06-01,23:00:00,16.796
17,2020-06-02,00:00:00,16.773
18,2020-06-02,01:00:00,16.677
19,2020-06-02,02:00:00,16.701
20,2020-06-02,03:00:00,16.701
21,2020-06-02,04:00:00,16.773
22,2020-06-02,05:00:00,16.844
23,2020-06-02,06:00:00,16.725
24,2020-06-02,07:00:00,16.630
25,2020-06-02,08:00:00,16.701
26,2020-06-02,09:00:00,16.582
27,2020-06-02,10:00:00,16.677
28,2020-06-02,11:00:00,16.701
29,2020-06-02,12:00:00,16.677
30,2020-06-02,13:00:00,16.796
31,2020-06-02,14:00:00,16.868
32,2020-06-02,15:00:00,16.892
33,2020-06-02,16:00:00,16.106
34,2020-06-02,17:00:00,16.630
35,2020-06-02,18:00:00,16.749
36,2020-06-02,19:00:00,16.796
37,2020-06-02,20:00:00,16.796
38,2020-06-02,21:00:00,16.892
39,2020-06-02,22:00:00,16.915
40,2020-06-02,23:00:00,16.868
41,2020-06-03,00:00:00,16.725
42,2020-06-03,01:00:00,16.344
