Project:,SAEON,Sub Project:,Algoa Bay Long Term Research,,,,,,
Time Series:,ABC_30m_018,Series Code:,ABLTMRP_ABCEN_UTR_30m_3/5_018,Raw Data File:,G:\.shortcut-targets-by-id\1VG-XCaGZwvhiUMkG75h8YJZzEDj6eZn0\Data Store\Continuous Monitoring Platform\Staging\UTRs\20191031_MalickI\60m_Central_3.csv,,,,
Location:,Algoa Bay Central,Site:,Central,GPS Name:,UTR - CEN,Mooring Type:,UTR Array,Mooring No:,14
Latitude:,-33.88195,Longitude:,25.98585,LatShore:,-33.72,LongShore:,26.855,Distance (m):,
Interval (hr):,1,Total:,4200,Variables:,1,,,,
Deploy Depth (m):,30,Bottom Depth (m):,60,Bin No:,3,Total Bins:,5,,
Start Date:,2019/04/26,Start Time:,12:00:00 am,,,,,,
End Date:,2019/10/17,End Time:,11:00:00 pm,,,,,,
Instrument:,Onset Hobo Pro v2 Water Temperature Logger,Serial No:,20190474,,,,,,
Comment:,,,,,,,,,
#,Date,"Time, GMT+02:00","Temp, °C (LGR S/N: 20190474, SEN S/N: 20190474)",,,,,,
19,2019/04/26,12:00:00 am,15.008,,,,,,
20,2019/04/26,1:00:00 am,14.816,,,,,,
21,2019/04/26,2:00:00 am,14.984,,,,,,
22,2019/04/26,3:00:00 am,14.864,,,,,,
23,2019/04/26,4:00:00 am,14.721,,,,,,
24,2019/04/26,5:00:00 am,14.792,,,,,,
25,2019/04/26,6:00:00 am,14.816,,,,,,
26,2019/04/26,7:00:00 am,14.792,,,,,,
27,2019/04/26,8:00:00 am,14.673,,,,,,
28,2019/04/26,9:00:00 am,14.649,,,,,,
29,2019/04/26,10:00:00 am,14.673,,,,,,
30,2019/04/26,11:00:00 am,14.745,,,,,,
31,2019/04/26,12:00:00 pm,14.721,,,,,,
32,2019/04/26,1:00:00 pm,14.745,,,,,,
33,2019/04/26,2:00:00 pm,14.745,,,,,,
34,2019/04/26,3:00:00 pm,14.792,,,,,,
35,2019/04/26,4:00:00 pm,14.888,,,,,,
36,2019/04/26,5:00:00 pm,14.816,,,,,,
37,2019/04/26,6:00:00 pm,14.864,,,,,,
38,2019/04/26,7:00:00 pm,14.984,,,,,,
39,2019/04/26,8:00:00 pm,14.673,,,,,,
40,2019/04/26,9:00:00 pm,14.673,,,,,,
41,2019/04/26,10:00:00 pm,14.697,,,,,,
42,2019/04/26,11:00:00 pm,15.27,,,,,,
43,2019/04/27,12:00:00 am,14.768,,,,,,
44,2019/04/27,1:00:00 am,14.96,,,,,,
45,2019/04/27,2:00:00 am,14.936,,,,,,
46,2019/04/27,3:00:00 am,14.697,,,,,,
47,2019/04/27,4:00:00 am,14.361,,,,,,
48,2019/04/27,5:00:00 am,14.266,,,,,,
49,2019/04/27,6:00:00 am,13.858,,,,,,
50,2019/04/27,7:00:00 am,13.906,,,,,,
51,2019/04/27,8:00:00 am,14.481,,,,,,
52,2019/04/27,9:00:00 am,14.505,,,,,,
53,2019/04/27,10:00:00 am,14.553,,,,,,
54,2019/04/27,11:00:00 am,14.337,,,,,,
55,2019/04/27,12:00:00 pm,14.673,,,,,,
56,2019/04/27,1:00:00 pm,14.577,,,,,,
57,2019/04/27,2:00:00 pm,14.721,,,,,,
58,2019/04/27,3:00:00 pm,14.912,,,,,,
59,2019/04/27,4:00:00 pm,14.864,,,,,,
60,2019/04/27,5:00:00 pm,15.008,,,,,,
61,2019/04/27,6:00:00 pm,14.912,,,,,,
62,2019/04/27,7:00:00 pm,14.912,,,,,,
63,2019/04/27,8:00:00 pm,14.912,,,,,,
64,2019/04/27,9:00:00 pm,14.984,,,,,,
65,2019/04/27,10:00:00 pm,15.199,,,,,,
66,2019/04/27,11:00:00 pm,15.676,,,,,,
67,2019/04/28,12:00:00 am,15.294,,,,,,
68,2019/04/28,1:00:00 am,15.008,,,,,,
69,2019/04/28,2:00:00 am,15.199,,,,,,
70,2019/04/28,3:00:00 am,14.96,,,,,,
71,2019/04/28,4:00:00 am,14.625,,,,,,
72,2019/04/28,5:00:00 am,14.649,,,,,,
73,2019/04/28,6:00:00 am,14.625,,,,,,
74,2019/04/28,7:00:00 am,14.888,,,,,,
75,2019/04/28,8:00:00 am,14.768,,,,,,
76,2019/04/28,9:00:00 am,14.96,,,,,,
77,2019/04/28,10:00:00 am,14.96,,,,,,
78,2019/04/28,11:00:00 am,15.055,,,,,,
79,2019/04/28,12:00:00 pm,15.103,,,,,,
80,2019/04/28,1:00:00 pm,15.175,,,,,,
81,2019/04/28,2:00:00 pm,15.223,,,,,,
82,2019/04/28,3:00:00 pm,15.127,,,,,,
83,2019/04/28,4:00:00 pm,15.175,,,,,,
84,2019/04/28,5:00:00 pm,15.175,,,,,,
85,2019/04/28,6:00:00 pm,15.127,,,,,,
86,2019/04/28,7:00:00 pm,15.127,,,,,,
87,2019/04/28,8:00:00 pm,15.223,,,,,,
88,2019/04/28,9:00:00 pm,15.103,,,,,,
89,2019/04/28,10:00:00 pm,15.175,,,,,,
90,2019/04/28,11:00:00 pm,15.079,,,,,,
91,2019/04/29,12:00:00 am,15.031,,,,,,
92,2019/04/29,1:00:00 am,14.888,,,,,,
93,2019/04/29,2:00:00 am,14.146,,,,,,
94,2019/04/29,3:00:00 am,14.026,,,,,,
95,2019/04/29,4:00:00 am,14.433,,,,,,
96,2019/04/29,5:00:00 am,14.361,,,,,,
97,2019/04/29,6:00:00 am,14.745,,,,,,
98,2019/04/29,7:00:00 am,14.625,,,,,,
99,2019/04/29,8:00:00 am,14.792,,,,,,
100,2019/04/29,9:00:00 am,14.625,,,,,,
101,2019/04/29,10:00:00 am,14.96,,,,,,
102,2019/04/29,11:00:00 am,15.008,,,,,,
103,2019/04/29,12:00:00 pm,15.055,,,,,,
104,2019/04/29,1:00:00 pm,15.055,,,,,,
105,2019/04/29,2:00:00 pm,15.247,,,,,,
106,2019/04/29,3:00:00 pm,15.008,,,,,,
107,2019/04/29,4:00:00 pm,15.247,,,,,,
108,2019/04/29,5:00:00 pm,15.247,,,,,,
109,2019/04/29,6:00:00 pm,15.127,,,,,,
110,2019/04/29,7:00:00 pm,15.151,,,,,,
111,2019/04/29,8:00:00 pm,15.175,,,,,,
112,2019/04/29,9:00:00 pm,15.247,,,,,,
113,2019/04/29,10:00:00 pm,15.294,,,,,,
114,2019/04/29,11:00:00 pm,15.151,,,,,,
115,2019/04/30,12:00:00 am,14.433,,,,,,
116,2019/04/30,1:00:00 am,14.361,,,,,,
117,2019/04/30,2:00:00 am,14.218,,,,,,
118,2019/04/30,3:00:00 am,14.337,,,,,,
119,2019/04/30,4:00:00 am,14.385,,,,,,
120,2019/04/30,5:00:00 am,14.673,,,,,,
121,2019/04/30,6:00:00 am,14.625,,,,,,
122,2019/04/30,7:00:00 am,14.888,,,,,,
123,2019/04/30,8:00:00 am,14.96,,,,,,
124,2019/04/30,9:00:00 am,15.151,,,,,,
125,2019/04/30,10:00:00 am,15.008,,,,,,
126,2019/04/30,11:00:00 am,15.055,,,,,,
127,2019/04/30,12:00:00 pm,15.079,,,,,,
128,2019/04/30,1:00:00 pm,15.103,,,,,,
129,2019/04/30,2:00:00 pm,15.247,,,,,,
130,2019/04/30,3:00:00 pm,15.008,,,,,,
131,2019/04/30,4:00:00 pm,14.912,,,,,,
132,2019/04/30,5:00:00 pm,14.194,,,,,,
133,2019/04/30,6:00:00 pm,14.194,,,,,,
134,2019/04/30,7:00:00 pm,14.529,,,,,,
135,2019/04/30,8:00:00 pm,14.768,,,,,,
136,2019/04/30,9:00:00 pm,15.055,,,,,,
